Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,"330nF, 50V",C_0603_1608Metric,156.8,-110.25,90.0,top
C10,"10uF, 50V",C_1206_3216Metric,161.4,-60.525,-90.0,top
C11,"330nF, 50V",C_0603_1608Metric,144.35,-80.075,-90.0,top
C12,"100nF, 50V",C_0603_1608Metric,126.7,-80.3,-90.0,top
C13,"10uF, 50V",C_1206_3216Metric,121.7,-80.3,-90.0,top
C14,"10uF, 50V",C_1206_3216Metric,185.0,-139.05,90.0,top
C15,"100nF, 50V",C_0603_1608Metric,180.0,-139.225,90.0,top
C16,"100nF, 50V",C_0603_1608Metric,160.0,-130.775,-90.0,top
C17,"22uF, 10V",C11366-CASE-A_3216,155.0,-131.199898,-90.0,top
C18,"22uF, 25V",C_1206_3216Metric,149.475,-100.65,0.0,top
C19,"4.7uF, 50V",C_0805_2012Metric,149.85,-104.75,180.0,top
C2,"100nF, 50V",C_0603_1608Metric,135.0,-110.0,-90.0,top
C20,"10uF, 50V",C_1206_3216Metric,147.55,-80.774999,-90.0,top
C21,"10uF, 50V",C_1206_3216Metric,185.9,-60.75,-90.0,top
C22,"22uF, 25V",C_1206_3216Metric,170.8,-92.5,90.0,top
C3,"10uF, 50V",C_1206_3216Metric,130.0,-110.0,-90.0,top
C4,"4.7uF, 50V",C_0805_2012Metric,172.15,-103.05,90.0,top
C5,"100nF, 50V",C_0603_1608Metric,167.9,-101.05,180.0,top
C6,"22uF, 25V",C_1206_3216Metric,167.8,-92.5,90.0,top
C7,"390pF, 50V",C_0402_1005Metric,160.78,-105.05,0.0,top
C8,"330nF, 50V",C_0603_1608Metric,182.95,-60.1125,-90.0,top
C9,"100nF, 50V",C_0603_1608Metric,165.0,-60.0,-90.0,top
CN1,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.5,-60.0,-90.0,top
CN10,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-124.0,0.0,top
CN11,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.5,-140.0,-90.0,top
CN12,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-140.0,0.0,top
CN2,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-60.0,0.0,top
CN3,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.5,-76.0,-90.0,top
CN4,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-76.0,0.0,top
CN5,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.5,-92.0,-90.0,top
CN6,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-92.0,0.0,top
CN7,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.5,-108.0,-90.0,top
CN8,C71370-WJ2EDGK-5.08-02P-14-00A,C71370-FL_001,69.0,-108.0,0.0,top
CN9,C3697-WJ2EDGRC-5.08-02P-14-00A,C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,47.379991,-124.0,-90.0,top
D1,C50645-SS24,C50645-SMA_L4.3-W2.6-LS5.2-RD,170.05,-97.8,0.0,top
J1,C5173368-9001-14641C00A,C5173368-CONN-TH_WINGTAT_9001-14641C00A,201.220002,-100.0,90.0,top
L1,22uH,C475917-IND-SMD_L10.0-W10.0-LS11.0,160.35,-94.20005,90.0,top
R1,100k,R_0402_1005Metric,163.059999,-109.05,0.0,top
R2,10k,R_0402_1005Metric,161.890001,-107.95,180.0,top
R3,30k,R_0603_1608Metric,160.790001,-106.6,0.0,top
R4,200k,R_0402_1005Metric,171.5,-106.5,-90.0,top
U1,C507146-LM7805S_TR,C507146-TO-263-3_L8.6-W10.2-P2.54-LS14.4-BR,145.0,-115.93187,90.0,top
U2,C40133-MP4560DN-LF-Z,C40133-SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP3.1-1,166.835992,-104.882296,-90.0,top
U3,C507195-LM7815S_TR,C507195-TO-263-3_L8.6-W10.2-P2.54-LS14.4-BR,175.0,-66.63187,90.0,top
U4,C5145368-LM7812SRG,C5145368-TO-263-3_L8.6-W10.2-P2.54-LS14.4-BR,136.7,-86.93187,90.0,top
U5,C259972-LM1084S-3.3_TR,C259972-TO-263-3_L8.6-W10.2-P2.54-LS14.4-TL,170.0,-133.491218,90.0,top
U6,C492421-PZ254V-12-8P,C492421-HDR-TH_8P-P2.54-V-M-R2-C4-S2.54,93.0,-92.0,-90.0,top
U7,C492421-PZ254V-12-8P,C492421-HDR-TH_8P-P2.54-V-M-R2-C4-S2.54,93.0,-108.0,-90.0,top
