Comment,Designator,Footprint,LCSC,Quantity
C131946-UA7812CKTTR,U4,C131946-TO-263-3L_L10.0-W9.2-P2.54-TL,C131946,1
"10uF, 50V","C13,C14,C17,C20",C_1206_3216Metric,C13585,4
"100nF, 50V",C12,C_0603_1608Metric,C14663,1
"1uF, 50V",C16,C_0603_1608Metric,C15849,1
"330nF, 50V",C11,C_0603_1608Metric,C282682,1
C358376-79D05,U5,C358376-TO-252-2_L6.5-W6.1-P4.58-LS10.0-BR,C358376,1
C3697-WJ2EDGRC-5.08-02P-14-00A,"CN1,CN11,CN3,CN5,CN7,CN9",C3697-CONN-TH_2P-P5.08_WJ2EDGRC-5.08-2P,C3697,6
C5173368-9001-14641C00A,J1,C5173368-CONN-TH_WINGTAT_9001-14641C00A,C5173368,1
"2.2uF, 25V",C15,C_0603_1608Metric,C57895,1
C71370-WJ2EDGK-5.08-02P-14-00A,"CN10,CN12,CN2,CN4,CN6,CN8",C71370-FL_001,C71370,6
